time_frame,shots_taken,crosses,poss_%,pass_success_rate,num_pass_strings,avg_pass_string,3_to_5_PS,6_plus_PS,atk_third_pass_success_%,pass_attempts_atk,pass_attempts_mid,mid_third_pass_success_%,def_third_pass_success_%,pass_attempts_def
0-15,2.9,2.9,53.7,75,7,4.6,5.3,1.7,64,11.6,40,76,82,11.7
16-30,2.6,3.4,57.1,78,6.4,4.6,5,1.4,77,10.7,37,79,76,15.1
31-45,2,2,60.6,74,4.7,4.5,3.3,1.4,69,9.1,26.6,79,66,9.3
46-60,2.6,0.7,58.5,77,6,5.1,4.3,1.7,76,8.3,40.6,75,82,11
61-75,2.9,1,53.2,75,5,5.1,3.6,1.4,71,10.3,22.3,76,76,14.6
76-90,1.3,1.3,54.6,73,4.1,4,3.6,0.6,72,8.3,22.9,74,70,7.6
